name,identity,jobnum,email,tel,major,institute
教师0001,100000000000000001,22000001,22000001@xxx.xxx.xx,10000000001,软件工程,计算机科学与技术学院
教师0002,100000000000000002,22000002,22000002@xxx.xxx.xx,10000000002,软件工程,计算机科学与技术学院
教师0003,100000000000000003,22000003,22000003@xxx.xxx.xx,10000000003,计算机科学与技术,计算机科学与技术学院
教师0004,100000000000000004,22000004,22000004@xxx.xxx.xx,10000000004,计算机科学与技术,计算机科学与技术学院
教师0005,100000000000000005,22000005,22000005@xxx.xxx.xx,10000000005,保密技术,计算机科学与技术学院
教师0006,100000000000000006,22000006,22000006@xxx.xxx.xx,10000000006,保密技术,计算机科学与技术学院
教师0007,100000000000000007,22000007,22000007@xxx.xxx.xx,10000000007,保密管理,计算机科学与技术学院
教师0008,100000000000000008,22000008,22000008@xxx.xxx.xx,10000000008,保密管理,计算机科学与技术学院
教师0009,100000000000000009,22000009,22000009@xxx.xxx.xx,10000000009,信息安全,计算机科学与技术学院
教师0010,100000000000000010,22000010,22000010@xxx.xxx.xx,10000000010,信息安全,计算机科学与技术学院
教师0011,100000000000000011,22000011,22000011@xxx.xxx.xx,10000000011,人工智能,计算机科学与技术学院
教师0012,100000000000000012,22000012,22000012@xxx.xxx.xx,10000000012,人工智能,计算机科学与技术学院
教师0013,100000000000000013,22000013,22000013@xxx.xxx.xx,10000000013,数据科学与大数据技术,计算机科学与技术学院
教师0014,100000000000000014,22000014,22000014@xxx.xxx.xx,10000000014,数据科学与大数据技术,计算机科学与技术学院
教师0015,100000000000000015,22000015,22000015@xxx.xxx.xx,10000000015,英语,外国语言文学学院
教师0016,100000000000000016,22000016,22000016@xxx.xxx.xx,10000000016,英语,外国语言文学学院
教师0017,100000000000000017,22000017,22000017@xxx.xxx.xx,10000000017,俄语,外国语言文学学院
教师0018,100000000000000018,22000018,22000018@xxx.xxx.xx,10000000018,俄语,外国语言文学学院
教师0019,100000000000000019,22000019,22000019@xxx.xxx.xx,10000000019,德语,外国语言文学学院
教师0020,100000000000000020,22000020,22000020@xxx.xxx.xx,10000000020,德语,外国语言文学学院
教师0021,100000000000000021,22000021,22000021@xxx.xxx.xx,10000000021,法语,外国语言文学学院
教师0022,100000000000000022,22000022,22000022@xxx.xxx.xx,10000000022,法语,外国语言文学学院
教师0023,100000000000000023,22000023,22000023@xxx.xxx.xx,10000000023,日语,外国语言文学学院
